ratio = 2.6568948088244038, flow_size = 0.005307MB
ratio = 2.8152748885586925, flow_size = 0.005411MB
ratio = 2.0465891155667273, flow_size = 0.008792MB
ratio = 2.063843843843844, flow_size = 0.003319MB
ratio = 2.3788030365444595, flow_size = 0.007404MB
ratio = 3.4760238011900597, flow_size = 0.00917MB
ratio = 2.018776855612455, flow_size = 0.007356MB
ratio = 2.9611127910492896, flow_size = 0.001969MB
ratio = 3.3601648684689054, flow_size = 0.001512MB
ratio = 2.6522412048336212, flow_size = 0.005076MB
ratio = 3.5920479943536057, flow_size = 0.007526MB
ratio = 2.4589017539837212, flow_size = 0.012826MB
ratio = 4.19761530081104, flow_size = 0.001807MB
ratio = 2.7184288245717663, flow_size = 0.006668MB
ratio = 3.2462242377616715, flow_size = 0.099299MB
ratio = 2.2535337269636786, flow_size = 0.004723MB
ratio = 2.799159216057789, flow_size = 0.006157MB
ratio = 4.38319708813175, flow_size = 0.004624MB
